lift_weight(ton),lift_height(m),rising_angle(deg),swing_angle(deg),left_ground_pressure_min(kg/cm2),left_ground_pressure_max(kg/cm2),left_pressure_length(m),right_ground_pressure_min(kg/cm2),right_ground_pressure_max(kg/cm2),right_pressure_length(m)
1,1,30,0,3.97,0,3.72,3.97,0,3.72
1,1,30,20,2.61,0,4.1,4.58,0,4.1
1,1,30,45,1.15,0,5.59,4.13,0,5.59
1,1,40,0,2.93,0,5.04,2.93,0,5.04
1,1,40,20,2.16,0,5.34,3.36,0,5.34
1,1,40,45,1.25,0,6.53,3.27,0,6.53
1,1,50,0,2.21,0,6.68,2.21,0,6.68
1,1,50,20,1.83,0.04,6.75,2.46,0.05,6.75
1,1,50,45,1.31,0.21,6.75,2.45,0.39,6.75
1,5,30,0,3.95,0,3.73,3.95,0,3.73
1,5,30,20,2.61,0,4.12,4.56,0,4.12
1,5,30,45,1.15,0,5.61,4.11,0,5.61
1,5,40,0,2.92,0,5.05,2.92,0,5.05
1,5,40,20,2.16,0,5.36,3.35,0,5.36
1,5,40,45,1.25,0,6.54,3.26,0,6.54
1,5,50,0,2.21,0,6.69,2.21,0,6.69
1,5,50,20,1.82,0.04,6.75,2.45,0.05,6.75
1,5,50,45,1.31,0.21,6.75,2.45,0.4,6.75
1,10,30,0,3.93,0,3.75,3.93,0,3.75
1,10,30,20,2.6,0,4.14,4.53,0,4.14
1,10,30,45,1.15,0,5.62,4.1,0,5.62
1,10,40,0,2.91,0,5.07,2.91,0,5.07
1,10,40,20,2.15,0,5.38,3.33,0,5.38
1,10,40,45,1.25,0,6.55,3.25,0,6.55
1,10,50,0,2.2,0,6.7,2.2,0,6.7
1,10,50,20,1.82,0.04,6.75,2.44,0.06,6.75
1,10,50,45,1.31,0.22,6.75,2.44,0.4,6.75
1.5,1,30,0,4.83,0,3.07,4.83,0,3.07
1.5,1,30,20,2.96,0,3.49,5.51,0,3.49
1.5,1,30,45,1.09,0,5.13,4.68,0,5.13
1.5,1,40,0,3.32,0,4.46,3.32,0,4.46
1.5,1,40,20,2.34,0,4.8,3.83,0,4.8
1.5,1,40,45,1.21,0,6.12,3.63,0,6.12
1.5,1,50,0,2.39,0,6.18,2.39,0,6.18
1.5,1,50,20,1.92,0,6.42,2.69,0,6.42
1.5,1,50,45,1.31,0.12,6.75,2.7,0.26,6.75
1.5,5,30,0,4.8,0,3.08,4.8,0,3.08
1.5,5,30,20,2.95,0,3.51,5.48,0,3.51
1.5,5,30,45,1.09,0,5.15,4.66,0,5.15
1.5,5,40,0,3.31,0,4.47,3.31,0,4.47
1.5,5,40,20,2.33,0,4.81,3.82,0,4.81
1.5,5,40,45,1.21,0,6.13,3.62,0,6.13
1.5,5,50,0,2.39,0,6.19,2.39,0,6.19
1.5,5,50,20,1.92,0,6.43,2.69,0,6.43
1.5,5,50,45,1.31,0.13,6.75,2.69,0,6.75
1.5,10,30,0,4.77,0,3.11,4.77,0,3.11
1.5,10,30,20,2.94,0,3.53,5.45,0,3.53
1.5,10,30,45,1.09,0,5.16,4.64,0,5.16
1.5,10,40,0,3.29,0,4.49,3.29,0,4.49
1.5,10,40,20,2.33,0,4.83,3.8,0,4.83
1.5,10,40,45,1.21,0,6.14,3.61,0,6.14
1.5,10,50,0,2.38,0,6.21,2.38,0,6.21
1.5,10,50,20,1.91,0,6.45,2.68,0,6.45
1.5,10,50,45,1.31,0.13,6.75,2.68,0.26,6.75
2,1,30,0,6.13,0,2.42,6.13,0,2.42
2,1,30,20,3.46,0,2.89,6.83,0,2.89
2,1,30,45,1.02,0,4.68,5.33,0,4.68
2,1,40,0,3.83,0,3.88,3.83,0,3.88
2,1,40,20,2.56,0,4.26,4.42,0,4.26
2,1,40,45,1.17,0,5.71,4.03,0,5.71
2,1,50,0,2.61,0,5.69,2.61,0,5.69
2,1,50,20,2.02,0,5.96,2.96,0,5.96
2,1,50,45,1.29,0,6.75,2.95,0,6.75
2,5,30,0,6.09,0,2.44,6.09,0,2.44
2,5,30,20,3.44,0,2.9,6.79,0,2.9
2,5,30,45,1.02,0,4.69,5.31,0,4.69
2,5,40,0,3.81,0,3.9,3.81,0,3.9
2,5,40,20,2.55,0,4.27,4.4,0,4.27
2,5,40,45,1.17,0,5.72,4.02,0,5.72
2,5,50,0,2.6,0,5.7,2.6,0,5.7
2,5,50,20,2.02,0,5.97,2.96,0,5.97
2,5,50,45,1.29,0.05,6.75,2.94,0.11,6.75
2,10,30,0,6.03,0,2.46,6.03,0,2.46
2,10,30,20,3.42,0,2.92,6.74,0,2.92
2,10,30,45,1.02,0,4.71,5.29,0,4.71
2,10,40,0,3.79,0,3.92,3.79,0,3.92
2,10,40,20,2.55,0,4.29,4.38,0,4.29
2,10,40,45,1.77,0,5.73,4.01,0,5.73
2,10,50,0,2.6,0,5.72,2.6,0,5.72
2,10,50,20,2.01,0,5.98,2.95,0,5.98
2,10,50,45,1.29,0.05,6.75,2.94,0.12,6.75
